car_model,price,year_model,kms,color,fueltype
Renault Duster 2.0 Dynamique 4x2,$55.000.000,2017,44.500,Blanco,Gasolina
Renault Duster Oroch 2.0 Expression,$66.900.000,2018,44.000,Plateado,Gasolina
Renault Duster 2.0 Dynamique 4x2,$44.900.000,2016,106.600,Gris,Gasolina
Renault Duster 2.0 Expression,$38.500.000,2016,180.800,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$40.000.000,2013,127.000,Verde,Gasolina
Renault Duster 1.3 Intense Mt 4x4,$88.000.000,2022,41.000,Dorado,Gasolina
Renault Duster 2.0 Dynamique 4x2,$41.500.000,2014,129.400,Color not found,Gasolina
Renault Duster 1.6 Expression Mecánica,$55.500.000,2020,100.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$41.900.000,2014,61.600,Color not found,Gasolina
Renault Duster 1.6 Expression Mecánica,$52.500.000,2020,187.000,Blanco,Gasolina
Renault Duster Oroch Outsider 1.3,$89.000.000,2023,9.000,Color not found,Gasolina
Renault Duster Tripadvisor Advance 2.0 4x4 Color Perla,$64.500.000,2018,73.480,Color not found,Gasolina
Renault Duster 1.6 Zen,$68.000.000,2023,45.666,Plateado,Gasolina
Renault Duster Oroch 2.0 Intens,$79.000.000,2022,70.880,Gris,Gasolina
Renault Duster 2.0 Polar Mt 4X4,$70.000.000,2019,91.699,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$42.000.000,2016,144.000,Gris,Gasolina
Renault Duster 1.6 Zen,$63.990.000,2021,17.000,Gris,Gasolina
Renault Duster 2.0 Dynamique,$56.500.000,2017,38.000,Plateado,Gasolina
Renault Duster 1.3 Intense Cvt,$78.200.000,2022,26.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$50.000.000,2015,103.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$43.800.000,2013,134.000,Plateado,Gasolina
Renault Duster 1.3 T Iconic Mt 4X4,$94.900.000,2024,18.000,Plateado,Gasolina
Renault Duster TripAdvisor,$52.000.000,2019,60.773,Plateado,Gasolina
Renault Duster 1.3 Intense Cvt,$84.900.000,2023,17.500,Color not found,Gasolina
Renault Duster 2.0 Dynamique 4x2,$41.000.000,2014,104.000,Negro,Gasolina y gas
Renault Duster 1.3 Iconic Aut,$83.500.000,2024,33.500,Blanco,Gasolina
"Renault Duster New Intens Sec 1,3 4x2",$83.800.000,2023,35.217,Gris,Gasolina
"Renault Duster ZEN MEC 1,6 4X2",$69.800.000,2022,34.403,Gris,Gasolina
Renault Duster 1.6 Zen Mt,$67.990.000,2022,37.000,Blanco,Gasolina
Renault Duster 1.6 Intense Mt,$79.990.000,2023,18.000,Color not found,Gasolina
Renault Duster 1.3 T Iconic Cvt,$94.990.000,2024,3.085,Blanco,Gasolina
Renault Duster 1.3 Intense Mt 4x4,$76.900.000,2023,48.321,Rojo,Gasolina
Renault Duster Zen,$79.400.000,2024,0,Gris,Gasolina
Renault Duster ZEN 1.6 MT,$88.400.000,2024,0,Plateado,Gasolina
Renault Duster Oroch OUTSIDER,$109.900.000,2024,0,Rojo,Gasolina
Renault Duster Intens Edición 2020 2.0,$62.900.000,2020,68.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$58.700.000,2018,59.350,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$62.500.000,2021,70.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$51.900.000,2017,90.000,Verde,Gasolina
